,artist,title
0,Brenda Lee,Rockin' Around The Christmas Tree
1,Mariah Carey,All I Want For Christmas Is You
2,Bobby Helms,Jingle Bell Rock
3,Wham!,Last Christmas
4,Burl Ives,A Holly Jolly Christmas
5,Andy Williams,It's The Most Wonderful Time Of The Year
6,Dean Martin,"Let It Snow, Let It Snow, Let It Snow!"
7,Jose Feliciano,Feliz Navidad
8,Jack Harlow,Lovin On Me
9,The Ronettes,Sleigh Ride
10,Ariana Grande,Santa Tell Me
11,"Nat ""King"" Cole",The Christmas Song (Merry Christmas To You)
12,Kelly Clarkson,Underneath The Tree
13,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,White Christmas
14,Darlene Love,Christmas (Baby Please Come Home)
15,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,Jingle Bells
16,Nat King Cole,Deck The Halls
17,Elvis Presley,Blue Christmas
18,Taylor Swift,Cruel Summer
19,Eartha Kitt With Henri Rene And His Orchestra,Santa Baby
20,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)
21,Chuck Berry,Run Rudolph Run
22,Michael Buble,It's Beginning To Look A Lot Like Christmas
23,Tate McRae,Greedy
24,The Beach Boys,Little Saint Nick
25,Paul McCartney,Wonderful Christmastime
26,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas
27,Eagles,Please Come Home For Christmas
28,Doja Cat,Paint The Town Red
29,Jackson 5,Santa Claus Is Comin' To Town
30,Zach Bryan Featuring Kacey Musgraves,I Remember Everything
31,Tyla,Water
32,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
33,Donny Hathaway,This Christmas
34,Doja Cat,Agora Hills
35,Morgan Wallen,Last Night
36,Justin Bieber,Mistletoe
37,Andy Williams,Happy Holiday / The Holiday Season
38,Vince Guaraldi Trio,Christmastime Is Here
39,Jonas Brothers,Like It's Christmas
40,Michael Buble,Have Yourself A Merry Little Christmas
41,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over)
42,Jackson 5,I Saw Mommy Kissing Santa Claus
43,Morgan Wallen,Thinkin' Bout Me
44,Gene Autry & The Pinafores,Rudolph The Red-Nosed Reindeer
45,Ed Sheeran & Elton John,Merry Christmas
46,Luke Combs,Fast Car
47,Teddy Swims,Lose Control
48,Taylor Swift,Is It Over Now? (Taylor's Version) [From The Vault]
49,Perry Como With Mitchell Ayers And His Orchestra,(There's No Place Like) Home For The Holidays (1954)
50,Paul Russell,Lil Boo Thang
51,Drake Featuring Sexyy Red & SZA,Rich Baby Daddy
52,Nicki Minaj,FTCU
53,Noah Kahan,Stick Season
54,Nicki Minaj Featuring Lil Uzi Vert,Everybody
55,Chris Stapleton,White Horse
56,Drake Featuring J. Cole,First Person Shooter
57,Miley Cyrus,Used To Be Young
58,Dua Lipa,Houdini
59,"Usher, Summer Walker & 21 Savage",Good Good
60,Nate Smith,World On Fire
61,Xavi,La Diabla
62,Warren Zeiders,Pretty Little Poison
63,Victoria Monet,On My Mama
64,Mitski,My Love Mine All Mine
65,Tate McRae,Exes
66,JID Featuring 21 Savage & Baby Tate,Surround Sound
67,Bad Bunny,Monaco
68,Kenya Grace,Strangers
69,Drake,You Broke My Heart
70,Olivia Rodrigo,Get Him Back!
71,Drake Featuring Yeat,IDGAF
72,Fuerza Regida & Marshmello,Harley Quinn
73,Jessie Murph & Jelly Roll,Wild Ones
74,Peso Pluma & Anitta,Bellakeo
75,HARDY,Truck Bed
76,Dan + Shay,Save Me The Trouble
77,Meghan Trainor,Jingle Bells
78,Xavi,La Victima
79,Luke Combs,Where The Wild Things Are
80,Karol G & Peso Pluma,Qlona
81,Taylor Swift,You're Losing Me (From The Vault)
82,Lil Tecca,500lbs
83,Cody Johnson,The Painter
84,Flo Milli,Never Lose Me
85,Parker McCollum,Burn It Down
86,Chloe,Winter Wonderland
87,Maluma & Carin Leon,Segun Quien
88,Nicki Minaj Featuring Drake,Needle
89,Cher,DJ Play A Christmas Song
90,George Birge,Mind On You
91,"Juice WRLD, Eminem & benny blanco",Lace It
92,Zach Bryan Featuring The War And Treaty,Hey Driver
93,Sabrina Carpenter,Feather
94,Olivia Rodrigo,Can't Catch Me Now
95,Grupo Frontera & Grupo Firme,El Amor de Su Vida
96,Jung Kook,Standing Next To You
97,Morgan Wallen Featuring Eric Church,Man Made A Bar
98,Calle 24 x Chino Pacas x Fuerza Regida,Que Onda
99,Rod Wave,Great Gatsby
